county_name,State,county formatted,crime_rate_per_100000,PCTPOVALL_2020,diversity index,noaa/temp-jan,noaa/temp-apr,noaa/temp-jul,noaa/temp-oct,edu/some-college,bls/2020/unemployed,life-expectancy,population/2019,avg_income,poverty-rate,Unemployment_rate,cost-of-living/living_wage,cost-of-living/food_costs,cost-of-living/medical_costs,cost-of-living/housing_costs,cost-of-living/tax_costs
"Alpine County, CA", CA,Alpine County CA,690.2502157,14.3,0.491441,28.7,35.5,58,42.6,28.6,58,79.06,1129,73307,17.2,2.1,14.36,3792,2545,8220,5806
"Amador County, CA", CA,Amador County CA,355.9790794,10.3,0.340126,45.4,55,76,62.1,43.3,1317,79.8,39752,44793,9.8,4.5,16.26,3792,2545,10212,7774
"Amelia County, VA", VA,Amelia County VA,204.0015692,9,0.420531,35.9,56.5,77.1,56.6,25.9,357,77.27,13145,44774,9.3,4.1,15.95,3177,2866,10788,6544
"Amherst County, VA", VA,Amherst County VA,46.61570017,11.2,0.388727,36.1,55.8,76.1,57.2,30.6,823,77.77,31605,37160,12,4,14.03,3177,2866,7560,5789
"Amite County, MS", MS,Amite County MS,62.02031165,21.7,0.505187,47.2,63.7,80.7,65.7,30,376,76.19,12297,33460,20.9,3.6,12.9,3177,2724,5904,5236
"Anchorage Municipality, AK", AK,Anchorage Municipality AK,824.7217146,13.4,0.601515,17.1,36.2,57.6,34.4,34.4,10971,78.68,288000,66510,9.5,4.7,15.27,3792,2814,11220,4431
"Anderson County, KS", KS,Anderson County KS,215.2716221,12.7,0.10437,30,54.6,78.6,57.3,30.9,175,78.79,7858,38539,12.7,11,13.16,3246,2543,6288,5364
"Anderson County, KY", KY,Anderson County KY,55.01811013,10,0.107989,32.5,55.2,76.3,56.4,33.1,718,77.24,22747,39321,10.2,2.8,13.41,3177,3022,6204,5693
"Anderson County, SC", SC,Anderson County SC,600.0807801,14,0.36453,41.3,60.1,79.5,61.2,31.8,5402,76.32,202558,39710,12.9,2.3,13.99,3177,2662,6876,6587
"Anderson County, TN", TN,Anderson County TN,342.85563,13.3,0.185338,36.7,57.6,77.1,58.7,30.8,2311,76.68,76978,41853,15.3,3.6,13.01,3177,2813,7488,3774
