county_name,State,county formatted,crime_rate_per_100000,PCTPOVALL_2020,diversity index,noaa/temp-jan,noaa/temp-apr,noaa/temp-jul,noaa/temp-oct,temp_avg,edu/some-college,bls/2020/unemployed,life-expectancy,population/2019,avg_income,poverty-rate,Unemployment_rate,cost-of-living/living_wage,cost-of-living/food_costs,cost-of-living/medical_costs,cost-of-living/housing_costs,cost-of-living/tax_costs,cost_sum,p_cost,p_temperature,p_life,p_edu,p_safe,p_wealth,p_employment
"Alexandria city, VA", VA,Alexandria City VA,164.5488005,8,0.641095,36,56.8,79.8,59.5,58.025,18.3,6011,81.7,159428,88008,8.6,2.5,19.92,3177,2866,17484,8110,31656.92,0,33,3,99,57,1,93
"Alfalfa County, OK", OK,Alfalfa County OK,119.7195143,15.7,0.271199,34,57.1,82.7,59.5,58.325,25.9,99,78.21,5702,40624,15.8,9.2,13.15,3177,2646,6276,5464,17576.15,58,32,45,82,71,56,2
"Alger County, MI", MI,Alger County MI,157.5299307,12.1,0.272016,17.6,39.1,64.8,45.7,41.8,27.3,338,79.49,9108,33767,12.6,6,12.77,3246,2594,5940,4832,16624.77,84,95,24,74,59,86,19
"Allamakee County, IA", IA,Allamakee County IA,84.69193309,10.9,0.159016,17.2,47.4,72,50.2,46.7,31.1,359,79.9,13687,45745,13,2.7,13.55,3246,2791,5964,6243,18257.55,42,81,18,47,82,34,90
"Allegan County, MI", MI,Allegan County MI,200.8335481,7.3,0.202402,24.3,47,70.8,51,48.275,30.4,4543,79.13,118081,45182,10.8,4.2,13.52,3246,2594,7224,5118,18195.52,45,75,31,52,48,36,56
"Allegany County, MD", MD,Allegany County MD,364.5217013,14.7,0.223516,29,51,72.9,53,51.475,29.5,2398,77.6,70416,40517,16,2.8,13.16,3177,3001,6228,5172,17591.16,58,61,55,60,20,56,88
"Allegany County, NY", NY,Allegany County NY,137.1884679,15.1,0.096853,21.9,43.8,66.9,47.3,44.975,33.3,1536,79.05,46091,34880,17.9,2.4,13.63,3690,2935,6492,6112,19242.63,28,87,32,30,66,81,94
"Alleghany County, NC", NC,Alleghany County NC,18.28320687,18.1,0.231248,32.2,51.3,73.5,54,52.75,31.2,307,77.86,11137,37549,16.9,4.7,13.05,3177,2728,6072,5359,17349.05,64,55,51,46,98,70,41
"Alleghany County, VA", VA,Alleghany County VA,105.1915104,11.7,0.15444,32.4,52.8,73.3,54.7,53.3,30.6,444,76.35,14860,40061,11.5,5.6,13.1,3177,2866,5988,5422,17466.1,60,53,72,51,76,58,24
"Allegheny County, PA", PA,Allegheny County PA,409.4916311,10.5,0.342197,28.8,50.9,73.2,53.2,51.525,26,57367,78.5,1216045,62958,10.8,4.9,13.11,3690,2729,7932,3804,18168.11,45,61,40,82,15,5,37
"Allen County, IN", IN,Allen County IN,285.3884423,11.4,0.408551,24.4,49.4,73,52.2,49.75,32.6,14203,78.31,379299,46288,10.5,2.6,12.89,3246,2848,6132,4653,16891.89,77,70,43,36,30,32,91
"Allen County, KS", KS,Allen County KS,243.8281012,14.5,0.165955,30.8,55,78.8,57.4,55.5,38.5,347,76.57,12369,40218,17.3,8.3,13.27,3246,2543,6468,5405,17675.27,56,44,69,7,39,58,4
"Allen County, KY", KY,Allen County KY,39.387524,15.3,0.08924,34.9,57.2,76,58.3,56.6,27.5,476,75.88,21315,32643,16.8,4.1,13.24,3177,3022,5916,5623,17751.24,53,39,77,73,94,90,58
"Allen County, OH", OH,Allen County OH,530.8742806,12.9,0.314216,26.2,50.4,73.4,53.2,50.8,32.5,4122,77.95,102351,42816,12.9,3.2,13,3246,2720,6192,4946,17117,71,65,49,36,8,45,80
"Allen Parish, LA", LA,Allen Parish LA,93.98128206,21.1,0.446437,49.3,66.6,82,67.8,66.425,24.1,778,77.13,25627,33381,21.6,2.7,13.34,3177,3042,6504,5232,17968.34,48,6,62,90,80,87,90
"Allendale County, SC", SC,Allendale County SC,376.0544771,31.6,0.412457,45.5,63.1,81.2,64.6,63.6,24.7,249,72.88,8688,33237,30.2,3.1,13.39,3177,2662,5892,6326,18070.39,47,14,97,87,18,88,82
"Alpena County, MI", MI,Alpena County MI,182.1869307,15.6,0.076088,19.5,41.4,67.6,46.5,43.75,40.2,1021,78.7,28405,40985,13.9,2.6,12.89,3246,2594,6156,4880,16888.89,78,91,37,3,53,54,91
